MeterNo,SIP End Date and time,V,V,V,A,A,A,kWh Abs,kVArh+ Abs,kVArh- Abs,kVAh Abs,,DataStatus,Units
27299286,19-05-2023 23:30,227.93 V,228.61 V,228.52 V,0.12 A,0.12 A,0.12 A,0 kWh Abs,0 kVArh+ Abs,0.05 kVArh- Abs,0.01 kVAh Abs,-1,1,2
27299286,20-05-2023 00:00,228.16 V,229.29 V,229.49 V,0.12 A,0.12 A,0.12 A,0.01 kWh Abs,0 kVArh+ Abs,0.04 kVArh- Abs,0 kVAh Abs,-1,1,2
27299286,20-05-2023 00:30,227.08 V,228.16 V,229.21 V,0.12 A,0.12 A,0.12 A,0 kWh Abs,0 kVArh+ Abs,0.05 kVArh- Abs,0.01 kVAh Abs,-1,1,2
27299286,20-05-2023 01:00,228.01 V,229.1 V,230.17 V,0.12 A,0.12 A,0.12 A,0.01 kWh Abs,0 kVArh+ Abs,0.04 kVArh- Abs,0 kVAh Abs,-1,1,2
27299286,20-05-2023 01:30,229.58 V,230.84 V,231.88 V,0.12 A,0.12 A,0.12 A,0 kWh Abs,0 kVArh+ Abs,0.04 kVArh- Abs,0.01 kVAh Abs,-1,1,2
27299286,20-05-2023 02:00,230.64 V,231.83 V,232.56 V,0.12 A,0.12 A,0.12 A,0.01 kWh Abs,0 kVArh+ Abs,0.05 kVArh- Abs,0 kVAh Abs,-1,1,2
27299286,20-05-2023 02:30,231.44 V,232.88 V,233.8 V,0.12 A,0.12 A,0.12 A,0 kWh Abs,0 kVArh+ Abs,0.05 kVArh- Abs,0.01 kVAh Abs,-1,1,2
27299286,20-05-2023 03:00,232.55 V,233.88 V,234.89 V,0.12 A,0.12 A,0.12 A,0.01 kWh Abs,0 kVArh+ Abs,0.04 kVArh- Abs,0 kVAh Abs,-1,1,2
27299286,20-05-2023 03:30,232.82 V,234.39 V,235.18 V,0.12 A,0.12 A,0.12 A,0 kWh Abs,0 kVArh+ Abs,0.05 kVArh- Abs,0.01 kVAh Abs,-1,1,2
27299286,20-05-2023 04:00,233.84 V,235.08 V,235.76 V,0.13 A,0.12 A,0.12 A,0.01 kWh Abs,0 kVArh+ Abs,0.04 kVArh- Abs,0 kVAh Abs,-1,1,2
27299286,20-05-2023 04:30,233.82 V,234.63 V,235.45 V,0.13 A,0.12 A,0.12 A,0 kWh Abs,0 kVArh+ Abs,0.05 kVArh- Abs,0.01 kVAh Abs,-1,1,2
27299286,20-05-2023 05:00,233.44 V,234.43 V,235.31 V,0.12 A,0.12 A,0.12 A,0.01 kWh Abs,0 kVArh+ Abs,0.05 kVArh- Abs,0 kVAh Abs,-1,1,2
27299286,20-05-2023 05:30,232.39 V,234.56 V,234.91 V,0.12 A,0.12 A,0.12 A,0 kWh Abs,0 kVArh+ Abs,0.04 kVArh- Abs,0.01 kVAh Abs,-1,1,2
27299286,20-05-2023 06:00,232.97 V,235.17 V,235.47 V,1.03 A,1.15 A,1.11 A,0.04 kWh Abs,0.26 kVArh+ Abs,0.14 kVArh- Abs,0.2 kVAh Abs,0.2,1,2
27299286,20-05-2023 06:30,234.14 V,236.12 V,235.92 V,1.45 A,1.63 A,1.52 A,0.26 kWh Abs,0.47 kVArh+ Abs,0 kVArh- Abs,0.54 kVAh Abs,0.481,1,2
27299286,20-05-2023 07:00,233.89 V,235.74 V,235.84 V,1.91 A,2.07 A,1.93 A,0.52 kWh Abs,0.46 kVArh+ Abs,0 kVArh- Abs,0.7 kVAh Abs,0.743,1,2
27299286,20-05-2023 07:30,233.58 V,235.74 V,235.08 V,2.52 A,2.66 A,2.48 A,0.78 kWh Abs,0.46 kVArh+ Abs,0 kVArh- Abs,0.9 kVAh Abs,0.867,1,2
27299286,20-05-2023 08:00,232.49 V,234.88 V,233.94 V,3.38 A,3.51 A,3.29 A,1.1 kWh Abs,0.44 kVArh+ Abs,0 kVArh- Abs,1.19 kVAh Abs,0.924,1,2
27299286,20-05-2023 08:30,231.05 V,233.67 V,233.04 V,4.56 A,4.7 A,4.47 A,1.53 kWh Abs,0.44 kVArh+ Abs,0 kVArh- Abs,1.6 kVAh Abs,0.956,1,2
27299286,20-05-2023 09:00,229.51 V,231.54 V,230.76 V,6.53 A,6.65 A,6.42 A,2.23 kWh Abs,0.41 kVArh+ Abs,0 kVArh- Abs,2.26 kVAh Abs,0.987,1,2
27299286,20-05-2023 09:30,227.63 V,230.25 V,229.68 V,11.21 A,11.29 A,11.07 A,3.83 kWh Abs,0.37 kVArh+ Abs,0 kVArh- Abs,3.85 kVAh Abs,0.995,1,2
27299286,20-05-2023 10:00,225.49 V,228.47 V,228.21 V,14.42 A,14.49 A,14.26 A,4.9 kWh Abs,0.33 kVArh+ Abs,0 kVArh- Abs,4.91 kVAh Abs,0.998,1,2
27299286,20-05-2023 10:30,226.73 V,228.99 V,229.13 V,18.12 A,18.2 A,17.96 A,6.19 kWh Abs,0.3 kVArh+ Abs,0 kVArh- Abs,6.19 kVAh Abs,1,1,2
27299286,20-05-2023 11:00,228.32 V,229.91 V,230.67 V,20.01 A,20.12 A,19.85 A,6.88 kWh Abs,0.29 kVArh+ Abs,0 kVArh- Abs,6.9 kVAh Abs,0.997,1,2
27299286,20-05-2023 11:30,229 V,229.31 V,230.86 V,23.11 A,23.3 A,23 A,7.97 kWh Abs,0.27 kVArh+ Abs,0 kVArh- Abs,7.97 kVAh Abs,1,1,2
